problem,algorithm,variant,nfe,mean_best,median_best
RW26,GSK,SHAP-CF,13313,101030255.1434371,101030255.1434371
RW26,GSK,SHAP-CF,13373,101030255.1434341,101030255.1434341
RW26,GSK,SHAP-CF,13379,101030255.14344718,101030255.14344718
RW26,GSK,SHAP-CF,13385,101030255.14344668,101030255.14344668
RW26,GSK,SHAP-CF,13461,101038449.68820168,101038449.68820168
RW26,GSK,SHAP-CF,13478,101030255.14344595,101030255.14344595
RW26,GSK,SHAP-CF,13565,101030255.14343405,101030255.14343405
RW26,GSK,SHAP-CF,13583,101030625.8059887,101030625.8059887
RW26,GSK,SHAP-CF,13726,101030255.14344493,101030255.14344493
RW26,GSK,SHAP-CF,13742,101030255.14344384,101030255.14344384
RW26,GSK,SHAP-CF,13822,101030255.1434338,101030255.1434338
RW26,GSK,SHAP-CF,13863,101030255.14343363,101030255.14343363
RW26,GSK,SHAP-CF,13922,101030255.14344288,101030255.14344288
RW26,GSK,SHAP-CF,13926,101030255.1434423,101030255.1434423
RW26,GSK,SHAP-CF,13991,101030255.14343376,101030255.14343376
RW26,GSK,SHAP-CF,14173,101030255.14343373,101030255.14343373
RW26,GSK,SHAP-CF,14459,101030255.14344187,101030255.14344187
RW26,GSK,SHAP-CF,14515,101030255.14343368,101030255.14343368
RW26,GSK,SHAP-CF,14561,101030255.14344142,101030255.14344142
RW26,GSK,SHAP-CF,14665,101030255.14344068,101030255.14344068
RW26,GSK,SHAP-CF,14689,101030255.14343366,101030255.14343366
RW26,GSK,SHAP-CF,14706,101030255.14343365,101030255.14343365
RW26,GSK,SHAP-CF,14742,101030255.14344007,101030255.14344007
RW26,GSK,SHAP-CF,15139,101030255.14343363,101030255.14343363
RW26,GSK,SHAP-CF,15199,101030255.14762083,101030255.14762083
RW26,GSK,SHAP-CF,15433,101030255.14343964,101030255.14343964
RW26,GSK,SHAP-CF,15684,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,15819,101030255.14685997,101030255.14685997
RW26,GSK,SHAP-CF,15942,101030255.14343943,101030255.14343943
RW26,GSK,SHAP-CF,15950,101030255.14343907,101030255.14343907
RW26,GSK,SHAP-CF,16258,101030255.14343362,101030255.14343362
RW26,GSK,SHAP-CF,16286,101030255.14343898,101030255.14343898
RW26,GSK,SHAP-CF,16502,101030255.14343877,101030255.14343877
RW26,GSK,SHAP-CF,16596,101030255.14343873,101030255.14343873
RW26,GSK,SHAP-CF,16639,101030255.14343812,101030255.14343812
RW26,GSK,SHAP-CF,16862,101031747.27404317,101031747.27404317
RW26,GSK,SHAP-CF,16864,101030595.49255581,101030595.49255581
RW26,GSK,SHAP-CF,17063,101031690.22808407,101031690.22808407
RW26,GSK,SHAP-CF,17079,101030255.14618763,101030255.14618763
RW26,GSK,SHAP-CF,17099,101030255.1458673,101030255.1458673
RW26,GSK,SHAP-CF,17102,101030255.1434381,101030255.1434381
RW26,GSK,SHAP-CF,17129,101030255.14343797,101030255.14343797
RW26,GSK,SHAP-CF,17214,101030255.14343794,101030255.14343794
RW26,GSK,SHAP-CF,17218,101030255.14343779,101030255.14343779
RW26,GSK,SHAP-CF,17223,101030255.14343776,101030255.14343776
RW26,GSK,SHAP-CF,17236,101030255.14343773,101030255.14343773
RW26,GSK,SHAP-CF,17303,101030255.14343765,101030255.14343765
RW26,GSK,SHAP-CF,17319,101030255.14343761,101030255.14343761
RW26,GSK,SHAP-CF,17433,101030255.14343758,101030255.14343758
RW26,GSK,SHAP-CF,17493,101030255.14343747,101030255.14343747
