algorithm,variant,run,nfe,best_fit
GSK,ACME-CF,27,1866,3231.7243427786398
GSK,ACME-CF,27,2460,3143.8966950865256
GSK,ACME-CF,27,2616,3133.3694461187188
GSK,ACME-CF,27,4440,3125.6053352029385
GSK,ACME-CF,27,5496,3123.7312585302748
GSK,ACME-CF,27,6480,3119.3769628987993
GSK,ACME-CF,27,7267,3103.974864356381
GSK,ACME-CF,27,8079,3082.424899439931
GSK,ACME-CF,28,1,1203455.4311547554
GSK,ACME-CF,28,2,1010903.4424194415
GSK,ACME-CF,28,3,5585.25832818998
GSK,ACME-CF,28,10,5342.7907503939205
GSK,ACME-CF,28,15,4312.433516158216
GSK,ACME-CF,28,22,4223.59104446056
GSK,ACME-CF,28,24,3935.7114053587584
GSK,ACME-CF,28,91,3744.9082104772374
GSK,ACME-CF,28,115,3708.445085653882
GSK,ACME-CF,28,312,3554.919449157799
GSK,ACME-CF,28,340,3493.571770759306
GSK,ACME-CF,28,437,3489.2627479839007
GSK,ACME-CF,28,682,3405.926393242697
GSK,ACME-CF,28,824,3399.408519297545
GSK,ACME-CF,28,1889,3357.236813695878
GSK,ACME-CF,28,2478,3354.917840376277
GSK,ACME-CF,28,2536,3327.144792742513
GSK,ACME-CF,28,2603,3238.6075111071523
GSK,ACME-CF,28,3962,3235.0294578628914
GSK,ACME-CF,28,4246,3181.526380245481
GSK,ACME-CF,28,4436,3139.0893738266786
GSK,ACME-CF,28,7661,3124.330574479837
GSK,ACME-CF,28,8484,3124.0685582813185
GSK,ACME-CF,29,1,904508.5958866221
GSK,ACME-CF,29,2,167456.4042373546
GSK,ACME-CF,29,7,5201.530812472958
GSK,ACME-CF,29,10,4054.740969015883
GSK,ACME-CF,29,11,3881.6411420316113
GSK,ACME-CF,29,24,3703.552979170217
GSK,ACME-CF,29,138,3682.9811866083483
GSK,ACME-CF,29,191,3391.128489477016
GSK,ACME-CF,29,761,3292.3630242001996
GSK,ACME-CF,29,1797,3246.6213291618883
GSK,ACME-CF,29,2527,3222.0107085884474
GSK,ACME-CF,29,2627,3135.153869530416
GSK,ACME-CF,29,4202,3118.324973896199
GSK,ACME-CF,29,7716,3082.424899439931
GSK,ACME-CF,2,1,353847.7424780479
GSK,ACME-CF,2,2,4269.688374881363
GSK,ACME-CF,2,3,4182.538706289939
GSK,ACME-CF,2,4,4103.423502452588
GSK,ACME-CF,2,19,3433.211805316306
GSK,ACME-CF,2,340,3388.6920072289354
GSK,ACME-CF,2,803,3331.5770116219023
GSK,ACME-CF,2,922,3303.0234249575965
GSK,ACME-CF,2,1261,3294.5118346059685
GSK,ACME-CF,2,1343,3276.4366314709023
GSK,ACME-CF,2,2356,3202.6722112615025
GSK,ACME-CF,2,8900,3200.9053853634064
GSK,ACME-CF,2,9743,3188.531901412949
GSK,ACME-CF,2,9968,3141.8704650692193
GSK,ACME-CF,3,1,434496.54097431153
GSK,ACME-CF,3,4,6289.261314813248
GSK,ACME-CF,3,13,4332.100050635231
GSK,ACME-CF,3,22,4101.465532811658
GSK,ACME-CF,3,39,3964.2297863834656
GSK,ACME-CF,3,41,3880.7191205307477
GSK,ACME-CF,3,78,3644.871436239276
GSK,ACME-CF,3,116,3601.8461826391513
GSK,ACME-CF,3,324,3562.3697423478848
GSK,ACME-CF,3,364,3431.157647140688
GSK,ACME-CF,3,584,3364.446863048018
GSK,ACME-CF,3,600,3340.137649491638
GSK,ACME-CF,3,702,3213.271234781178
GSK,ACME-CF,3,801,3184.9524682308456
GSK,ACME-CF,3,1181,3177.739959547193
GSK,ACME-CF,3,1201,3176.4437092802195
GSK,ACME-CF,3,2021,3169.563892700986
GSK,ACME-CF,3,2758,3150.6134422061064
GSK,ACME-CF,3,3221,3137.7769566779425
GSK,ACME-CF,3,7500,3104.434429479805
GSK,ACME-CF,3,9031,3082.424899439931
GSK,ACME-CF,4,1,31190.557594645456
GSK,ACME-CF,4,4,5109.941055530428
GSK,ACME-CF,4,13,4876.555227326665
GSK,ACME-CF,4,41,3564.843414414229
GSK,ACME-CF,4,203,3547.3802034541277
GSK,ACME-CF,4,274,3483.768314166755
GSK,ACME-CF,4,737,3423.7952683349363
GSK,ACME-CF,4,1685,3296.115945187313
GSK,ACME-CF,4,1856,3287.654855403587
GSK,ACME-CF,4,2581,3264.3405488785397
GSK,ACME-CF,4,4775,3155.288706382669
GSK,ACME-CF,5,1,541906.5196697573
GSK,ACME-CF,5,3,4230.726591050846
GSK,ACME-CF,5,5,3549.6211268771044
GSK,ACME-CF,5,210,3544.6226383199105
GSK,ACME-CF,5,217,3281.533039619297
GSK,ACME-CF,5,1252,3270.14634533503
GSK,ACME-CF,5,1739,3243.4471114604858
GSK,ACME-CF,5,2149,3229.898308420623
GSK,ACME-CF,5,2159,3227.3384247668578
GSK,ACME-CF,5,2189,3221.539222847278
GSK,ACME-CF,5,5986,3210.3446428125458
GSK,ACME-CF,5,6141,3207.061854493262
GSK,ACME-CF,5,7012,3176.683838228369
GSK,ACME-CF,6,1,4674.700990437124
GSK,ACME-CF,6,23,4332.605317313873
GSK,ACME-CF,6,26,4052.8062045937736
GSK,ACME-CF,6,35,3809.391082006212
GSK,ACME-CF,6,73,3808.259679688725
GSK,ACME-CF,6,249,3507.7319495608926
GSK,ACME-CF,6,250,3357.578006274997
GSK,ACME-CF,6,561,3331.080015493775
GSK,ACME-CF,6,878,3329.981731061184
GSK,ACME-CF,6,1261,3308.0606054585887
GSK,ACME-CF,6,1863,3265.300270401137
GSK,ACME-CF,6,1907,3241.9341978224998
GSK,ACME-CF,6,2227,3233.1857232513626
GSK,ACME-CF,6,2261,3203.3922817702687
GSK,ACME-CF,6,3121,3199.5692853545625
GSK,ACME-CF,6,4214,3176.9445224973506
GSK,ACME-CF,6,4531,3082.424899439931
GSK,ACME-CF,7,1,960756.4420875837
GSK,ACME-CF,7,2,136373.61725273056
GSK,ACME-CF,7,5,67292.38751636332
GSK,ACME-CF,7,8,3457.3758039107815
GSK,ACME-CF,7,428,3355.5948999877537
GSK,ACME-CF,7,856,3192.080967933441
GSK,ACME-CF,7,2721,3188.4469699733318
GSK,ACME-CF,7,2970,3149.067416975545
GSK,ACME-CF,7,5861,3142.1118893336034
GSK,ACME-CF,7,6167,3125.7182730170302
GSK,ACME-CF,7,6555,3114.4147979847103
GSK,ACME-CF,7,7349,3110.279680506094
GSK,ACME-CF,8,1,46888.046282236675
GSK,ACME-CF,8,5,5294.173340038562
GSK,ACME-CF,8,9,3590.7372850077645
GSK,ACME-CF,8,218,3263.687253770777
GSK,ACME-CF,8,581,3245.8339561629587
GSK,ACME-CF,8,1092,3201.1064495138203
