Dimension,Function,Topology,MH_Group,Algorithm,Variant,Runs,FinalErr_Mean,FinalErr_Median,FinalErr_STD,FinalErr_Q1,FinalErr_Q3,FinalErr_IQR,Log10Err_Mean,Log10Err_Median,Log10Err_STD,ExecTime_s_Mean,ExecTime_s_Median,ExecTime_s_STD,OptimizerFEs_Median,ExplanationFEs_Median,OracleFEs_Median,OracleAttempts,OracleActivations,AppliedInterventions,Rescues
20,1,Unimodal,ADAPTIVE_DE,jSO,LIME-CF,30,8.498820610232846e-09,8.539899454262923e-09,1.1223263232995028e-09,7.551193448307458e-09,9.294765845879738e-09,1.7435723975722794e-09,-8.074474931654207,-8.068636728683693,0.05941906111223727,5.677153019299537,5.640093603993591,0.13310937631289466,262491.5,720.0,720.0,40,40,38,38
20,1,Unimodal,ADAPTIVE_DE,jSO,SHAP-CF,30,8.741991071777496e-09,9.252659083358594e-09,1.1498630176990503e-09,8.293909559142776e-09,9.525436439616897e-09,1.2315268804741208e-09,-8.062631527047362,-8.033734030072573,0.06428073015651198,5.6837707528335155,5.702033541499986,0.162345755225489,263226.5,420.0,420.0,42,42,39,39
20,1,Unimodal,ADAPTIVE_DE,jSO,Standard,30,9.073357887245948e-09,9.186095439872588e-09,8.04296117710731e-10,8.945164609031053e-09,9.575174431120104e-09,6.300098220890504e-10,-8.044114027423587,-8.036873423299049,0.04254355147837152,5.620789733299171,5.577169520503958,0.1403965025491911,263109.0,0.0,0.0,0,0,0,0
20,2,Multimodal,CLASSICAL_SWARM,BA,ACME-CF,30,43.561656359658826,49.207081282373565,16.56836360722086,49.113965386503324,49.391301877258115,0.2773364907547915,1.5303409117740117,1.6920275766866668,0.44046339805558266,11.503702237566662,11.46261045850406,0.2036673015922674,931210.0,68790.0,68790.0,1896,1892,1892,156
20,2,Multimodal,CLASSICAL_SWARM,BA,IBREAKDOWN-CF,30,45.27166409602299,50.426526548737684,15.403009140696623,50.020325329225926,50.608142335333085,0.5878170061071586,1.601034980742817,1.7026590543636662,0.27376005009152266,11.513984040266466,11.383330291493621,0.26433600564275567,949330.0,50670.0,50670.0,2391,2390,2390,98
20,2,Multimodal,CLASSICAL_SWARM,BA,LIME-CF,30,44.976697851938546,50.180006825546855,15.966964245944109,49.82261551603017,50.520135846271444,0.6975203302412751,1.5850889688114724,1.7005307150247697,0.31656937788245954,11.501391309734512,11.455595062499924,0.2489198739440384,944560.0,55440.0,55440.0,2294,2294,2294,146
20,2,Multimodal,CLASSICAL_SWARM,BA,SHAP-CF,30,44.86986703343033,50.22616584266805,15.63119354392021,47.463742050791865,50.42111880699268,2.9573767562008157,1.5899890499886171,1.700930014627716,0.29738285916610624,11.529944379132454,11.465953708000598,0.23885400419214842,947110.0,52890.0,52890.0,2359,2357,2357,96
20,2,Multimodal,CLASSICAL_SWARM,BA,Standard,30,47.471380516865125,50.447986027827255,14.516999759237637,50.0745920613784,50.66156890258732,0.5869768412089229,1.6321276907677087,1.7028438306391935,0.2505136533024071,11.406796922233964,11.335688562510768,0.2496054609754104,1000000.0,0.0,0.0,0,0,0,0
20,2,Multimodal,KNOWLEDGE_BASED,GSK,ACME-CF,30,48.65774688874889,53.91326389397588,26.200465927002213,49.08447897948116,70.37315724799797,21.288678268516804,0.6426679287926736,1.731585654953221,2.845235593636313,22.449548238899055,22.73283412499586,1.7701315707073497,972100.0,25830.0,25830.0,1574,1574,1574,258
20,2,Multimodal,KNOWLEDGE_BASED,GSK,IBREAKDOWN-CF,30,58.6507783622674,67.90220534828927,19.890321284828083,49.10651237378882,72.26031954181474,23.15380716802592,1.3733922022111618,1.831869190807569,1.8516075727369148,22.726449013930687,22.802975229002186,1.027849326061985,985360.0,12780.0,12780.0,1309,1309,1309,277
20,2,Multimodal,KNOWLEDGE_BASED,GSK,LIME-CF,30,53.71086576311232,54.89885879196177,24.008411453198832,49.08447897948123,72.26132120779735,23.17684222831612,0.6465822998682484,1.7381980522251488,3.045361754298605,22.456717098532923,22.692659395499504,2.0196429436543055,951040.0,39510.0,39510.0,1443,1441,1441,282
20,2,Multimodal,KNOWLEDGE_BASED,GSK,SHAP-CF,30,50.38939913875051,52.23214843822856,24.364732499656405,49.08447897948122,69.15278400916768,20.068305029686456,0.6971589836078457,1.7177977089847056,2.988149810152126,21.752442418066007,22.78326664600172,3.570843043548975,989350.0,7350.0,7350.0,1159,1157,1157,334
20,2,Multimodal,KNOWLEDGE_BASED,GSK,Standard,30,68.6744431064719,71.76837532285171,7.039011065997856,62.506164946045956,73.84538850993405,11.339223563888098,1.834450901645114,1.855927307538485,0.04660195832931189,22.715589494531255,22.617229646493797,0.4179797549755547,1000000.0,0.0,0.0,0,0,0,0
20,2,Multimodal,CLASSICAL_SWARM,GWO,ACME-CF,30,57.39592866902889,49.13642845652609,22.634791601204185,45.37139766309916,58.766183660119125,13.394785997019966,1.737778902712458,1.691403586047326,0.12492446405897077,29.992883416632928,29.828285187497386,0.591158445708119,967870.0,32130.0,32130.0,1306,1306,1306,232
