Dimension,MH_Group,Topology,Algorithm,Variant,Runs,FinalErr_Mean,FinalErr_Median,Log10FinalErr_Median,ExecTime_s_Median,ExplanationFEs_Median,AppliedInterventions,Rescues
10,RECENT_BIOINSPIRED,Unimodal,SBOA,Standard,30,5.740768469611055,5.2047905096817715,0.7162074045511891,3.927952207999624,0.0,0,0
20,ADAPTIVE_DE,Composition,L-SHADE,ACME-CF,120,243.0446977753898,289.51345283268415,2.456085762398665,70.85085364550469,53130.0,6429,1633
20,ADAPTIVE_DE,Composition,L-SHADE,IBREAKDOWN-CF,120,243.04469783269224,289.51345359521383,2.4560857637593,70.90098814600788,36267.5,6575,2508
20,ADAPTIVE_DE,Composition,L-SHADE,LIME-CF,120,243.04506692008388,289.5134544498121,2.45608576528422,70.89709514599235,49818.0,6448,2257
20,ADAPTIVE_DE,Composition,L-SHADE,SHAP-CF,120,243.04605754074618,289.51345491733196,2.456085766118448,70.73712514599902,36123.0,6586,2465
20,ADAPTIVE_DE,Composition,L-SHADE,Standard,120,243.04911428323842,289.51345283427713,2.456085762401508,70.70961389600416,0.0,0,0
20,ADAPTIVE_DE,Composition,jSO,ACME-CF,120,242.5532208863769,287.36597934661313,2.4522196624077797,71.54041456249251,44361.0,6127,1308
20,ADAPTIVE_DE,Composition,jSO,IBREAKDOWN-CF,120,242.56724067737028,287.36597934661313,2.4522196624077797,71.42230368750461,30820.5,6218,1766
20,ADAPTIVE_DE,Composition,jSO,LIME-CF,120,242.54287794787533,287.36597934661313,2.4522196624077797,72.46711483299441,41304.0,6169,1810
20,ADAPTIVE_DE,Composition,jSO,SHAP-CF,120,242.56273474979525,287.36597934661313,2.4522196624077797,74.29158106249815,31339.0,6249,1827
20,ADAPTIVE_DE,Composition,jSO,Standard,120,242.54061167745584,287.36597934661313,2.4522196624077797,72.31808408349752,0.0,0,0
20,ADAPTIVE_DE,Hybrid,L-SHADE,ACME-CF,90,9396.404157882045,27.74289196133384,1.4431517037887533,339.42441243749636,43143.0,4845,556
20,ADAPTIVE_DE,Hybrid,L-SHADE,IBREAKDOWN-CF,90,29495.254205957328,29.64642884742682,1.471972013889957,337.10928812549537,29910.0,5376,1098
20,ADAPTIVE_DE,Hybrid,L-SHADE,LIME-CF,90,20994.06696125743,29.868026577360524,1.4751755612780495,331.55005050050386,43230.0,5272,912
20,ADAPTIVE_DE,Hybrid,L-SHADE,SHAP-CF,90,19072.488979919708,28.39032859697454,1.453159435664142,326.7106636249955,30759.5,5355,1063
20,ADAPTIVE_DE,Hybrid,L-SHADE,Standard,90,184329.68783489856,33.994845842033556,1.5314120785185774,324.94149104149983,0.0,0,0
20,ADAPTIVE_DE,Hybrid,jSO,ACME-CF,90,2227.6468047178478,26.09530321802356,1.4165372373801581,326.0672327084976,37942.0,4387,614
20,ADAPTIVE_DE,Hybrid,jSO,IBREAKDOWN-CF,90,1670.0606634315948,27.405651424072403,1.437831418237519,325.9584305624958,27013.5,4447,1079
20,ADAPTIVE_DE,Hybrid,jSO,LIME-CF,90,1298.5385145032378,29.46803406552783,1.469332836817653,328.49932904150046,36786.0,4422,877
20,ADAPTIVE_DE,Hybrid,jSO,SHAP-CF,90,1640.3527832575728,27.1094507155492,1.4331206433552115,325.6606279164989,27753.0,4409,1071
