MH_Group,Algorithm,Variant,FeatureType,Feature,MeanNormalizedContribution,MedianNormalizedContribution,Top1Frequency,Top3Frequency,UsefulAssociated
RECENT_BIOINSPIRED,OPA,SHAP-CF,Actionable,attack_weight,0.008041151147232813,0.0,0.006615998687735798,0.9850183170211603,0.03865711629941495
RECENT_BIOINSPIRED,OPA,SHAP-CF,Actionable,drive_weight,0.011430689918423382,0.0,0.9673938797455666,0.995899174367106,0.03865711629941495
RECENT_BIOINSPIRED,OPA,SHAP-CF,Actionable,encircle_weight,0.0150317055488832,0.0,0.01596588113073432,0.995826270800299,0.03865711629941495
RECENT_BIOINSPIRED,OPA,SHAP-CF,Actionable,explore_prob,0.011134086206646382,0.0,0.01002424043596333,0.023256237811434925,0.03865711629941495
RECENT_BIOINSPIRED,SBOA,ACME-CF,Actionable,escape_weight,0.11762061424603444,0.0,0.11653099429965713,0.971897940724848,0.056751014913443136
RECENT_BIOINSPIRED,SBOA,ACME-CF,Actionable,explore_prob,0.009871843306365615,0.0,0.00494310174375802,0.951536568435666,0.056751014913443136
RECENT_BIOINSPIRED,SBOA,ACME-CF,Actionable,hunt_weight,0.061826276707285535,0.0,0.8607097032035507,0.9998106897204518,0.056751014913443136
RECENT_BIOINSPIRED,SBOA,ACME-CF,Actionable,local_weight,0.027883259808592305,0.0,0.017816200753034223,0.0767548011190341,0.056751014913443136
RECENT_BIOINSPIRED,SBOA,IBREAKDOWN-CF,Actionable,escape_weight,0.0001935991583189546,0.0,0.0002350958995356856,0.9931234449385812,0.09219677526791137
RECENT_BIOINSPIRED,SBOA,IBREAKDOWN-CF,Actionable,explore_prob,0.010562141617665305,0.0,0.011108281253061144,0.9829555472836627,0.09219677526791137
RECENT_BIOINSPIRED,SBOA,IBREAKDOWN-CF,Actionable,hunt_weight,0.011859908090217933,0.0,0.9747271907999138,1.0,0.09219677526791137
RECENT_BIOINSPIRED,SBOA,IBREAKDOWN-CF,Actionable,local_weight,0.014980103734546196,0.0,0.013929432047489372,0.02392100777775601,0.09219677526791137
RECENT_BIOINSPIRED,SBOA,LIME-CF,Actionable,escape_weight,0.2572681352664607,0.23057571777729913,0.2672513413124226,0.7546842756912918,0.0819026000825423
RECENT_BIOINSPIRED,SBOA,LIME-CF,Actionable,explore_prob,0.24483376783834526,0.2183371691853871,0.2394758563763929,0.7440569541890218,0.0819026000825423
RECENT_BIOINSPIRED,SBOA,LIME-CF,Actionable,hunt_weight,0.2508678076311093,0.22546353675714165,0.25130004127115146,0.7520841931489889,0.0819026000825423
RECENT_BIOINSPIRED,SBOA,LIME-CF,Actionable,local_weight,0.2470302892640848,0.2208946175813818,0.241972761040033,0.7491745769706974,0.0819026000825423
RECENT_BIOINSPIRED,SBOA,SHAP-CF,Actionable,escape_weight,0.00011001412982862607,0.0,0.0001382770677360093,0.9791201627718626,0.09564822313967959
RECENT_BIOINSPIRED,SBOA,SHAP-CF,Actionable,explore_prob,0.017838941815814618,0.0,0.02006992868854078,0.9841376449439978,0.09564822313967959
RECENT_BIOINSPIRED,SBOA,SHAP-CF,Actionable,hunt_weight,0.015777764202675078,0.0,0.9664381802737886,0.9999802461331806,0.09564822313967959
RECENT_BIOINSPIRED,SBOA,SHAP-CF,Actionable,local_weight,0.01672465570850565,0.0,0.013353613969934616,0.03676194615095905,0.09564822313967959
