Dimension,Function,Algorithm,Variant,Runs,Best,Worst,Median,Mean,Std,TargetSuccessRate,MedianFEterm
20,5,BA,IBREAKDOWN-CF,30,3.322241153163077,14.385328350906548,7.738179197511954,8.037754792177005,2.9186258666459537,0.0,1000000.0
20,5,BA,LIME-CF,30,3.354574175658172,14.318736800390184,7.708562457436358,8.039538204851981,2.918429838938313,0.0,1000000.0
20,5,BA,SHAP-CF,30,3.3138838952556853,14.33920006331016,7.692740404261485,8.036109772928663,2.91271811168505,0.0,1000000.0
20,5,BA,Standard,30,3.335254935137641,14.304596963313545,7.704338388346514,8.047346317503452,2.922273819131633,0.0,1000000.0
20,5,GSK,ACME-CF,30,1e-08,0.0021858322767229,1e-08,0.00012617827362795865,0.00045338421149927245,0.7666666666666667,600604.0
20,5,GSK,IBREAKDOWN-CF,30,1e-08,0.0036910433326511,1e-08,0.00022116049982010894,0.000702359881712972,0.6333333333333333,556659.5
20,5,GSK,LIME-CF,30,1e-08,0.0022520204508964,1e-08,0.0001592518276169301,0.0005618967196842409,0.8333333333333334,229055.5
20,5,GSK,SHAP-CF,30,1e-08,0.000890106643169,1e-08,4.891057015051321e-05,0.00016898288417296325,0.7666666666666667,486648.5
20,5,GSK,Standard,30,1.8783267705657636e-06,0.0037062419718267,0.0001351996169205,0.0005076175835748837,0.0008538108043552884,0.0,1000000.0
20,5,GWO,ACME-CF,30,2.733463168169692e-05,3.2916694690064787,0.10427678752620295,0.27772280973736085,0.6150685736819254,0.0,1000000.0
20,5,GWO,IBREAKDOWN-CF,30,6.974399116188579e-05,3.2853911722435214,0.10304621361109406,0.29499682550105033,0.6101890469251339,0.0,1000000.0
20,5,GWO,LIME-CF,30,0.0003103535184436,3.347644641795114,0.10674813724875776,0.30075678580167275,0.6221832525326269,0.0,1000000.0
20,5,GWO,SHAP-CF,30,0.0001099322686286,3.3453517626743405,0.1068227217379558,0.2764239495423794,0.6208592821190141,0.0,1000000.0
20,5,GWO,Standard,30,9.85004608082818e-05,3.3324248525335634,0.09749794014271626,0.287614210835549,0.6208383300672896,0.0,1000000.0
20,5,L-SHADE,ACME-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,68600.5
20,5,L-SHADE,IBREAKDOWN-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,68600.5
20,5,L-SHADE,LIME-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,68600.5
20,5,L-SHADE,SHAP-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,68600.5
20,5,L-SHADE,Standard,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,68600.5
20,5,OPA,ACME-CF,30,0.1860872696213391,8.556647351156471,3.0338106451864064,3.38022600043926,2.053375561391595,0.0,1000000.0
20,5,OPA,IBREAKDOWN-CF,30,0.1860872696213391,8.556647351156471,3.024319785278408,3.3925352345400444,2.051261875414743,0.0,1000000.0
20,5,OPA,LIME-CF,30,0.1860872696213391,8.556647351156471,2.9911987588787383,3.339340727835963,2.0713233892412495,0.0,1000000.0
20,5,OPA,SHAP-CF,30,0.1860872696213391,8.556647351156471,3.041682149470091,3.3602333382663234,2.0574481988092406,0.0,1000000.0
20,5,OPA,Standard,30,0.1860872696213391,8.556647351156471,3.037844739462969,3.381516629778226,2.055846393008886,0.0,1000000.0
20,5,PSO,ACME-CF,30,1e-08,3.816087874988511,0.9534121623898955,1.2473904609486905,1.0867800142786335,0.03333333333333333,1000000.0
20,5,PSO,IBREAKDOWN-CF,30,1e-08,3.816087874988284,0.9534121623898955,1.2473904609486717,1.0867800142785982,0.03333333333333333,1000000.0
20,5,PSO,LIME-CF,30,1e-08,3.816087874988511,0.9534121623898955,1.2473904609486717,1.0867800142786317,0.03333333333333333,1000000.0
20,5,PSO,SHAP-CF,30,1e-08,3.816087874988625,0.9534121623899523,1.2473904609487056,1.0867800142786281,0.03333333333333333,1000000.0
20,5,PSO,Standard,30,1e-08,3.816087874988511,0.9534121623899523,1.247390460948668,1.0867800142786268,0.03333333333333333,1000000.0
20,5,SBOA,ACME-CF,30,0.4602641877016822,3.749552527692231,1.9529749213060086,1.8709853757254904,0.7506128594552127,0.0,1000000.0
20,5,SBOA,IBREAKDOWN-CF,30,0.7364946662142984,3.883750880456659,1.9901696049295765,1.9152807926721152,0.7404570717515578,0.0,1000000.0
20,5,SBOA,LIME-CF,30,0.6550057444896993,3.7289727711762457,2.016943810310181,1.868064371349908,0.7354687515205304,0.0,1000000.0
20,5,SBOA,SHAP-CF,30,0.5566117989068289,3.7497822238548224,2.021977660555592,1.8939444200041484,0.7532958496606875,0.0,1000000.0
20,5,SBOA,Standard,30,0.4939188472507112,3.886757120568859,2.0383677225353267,1.9034713080488852,0.7850379873374052,0.0,1000000.0
20,5,jSO,ACME-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,180400.0
20,5,jSO,IBREAKDOWN-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,183693.0
20,5,jSO,LIME-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,181768.5
20,5,jSO,SHAP-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,182484.0
20,5,jSO,Standard,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,182432.5
20,6,BA,ACME-CF,30,58605.042331207624,290667.79902809823,163020.50054241135,168490.13914231764,66969.25938664842,0.0,1000000.0
20,6,BA,IBREAKDOWN-CF,30,453652.8732998272,1592920.9421522096,1120992.0831471249,1060288.747548861,320731.80363664526,0.0,1000000.0
20,6,BA,LIME-CF,30,429252.1039212801,1925095.8389125085,985126.5169403173,1050651.6777722763,316032.3680851359,0.0,1000000.0
20,6,BA,SHAP-CF,30,453363.6645932243,1653027.503304118,930907.3952662328,913375.3516552014,324462.89677652024,0.0,1000000.0
20,6,BA,Standard,30,271124.61180903815,1756056.6468607865,1151984.3248324306,1098138.406495046,365856.5395026616,0.0,1000000.0
20,6,GSK,ACME-CF,30,5462.694183360015,30977.98119837076,16444.049195016065,16916.800418035535,7506.030846014579,0.0,1000000.0
20,6,GSK,IBREAKDOWN-CF,30,3152.502001931851,41128.49490696896,18338.34217961818,18819.30984579238,11665.710601665112,0.0,1000000.0
20,6,GSK,LIME-CF,30,2780.117972128336,37366.280180473506,16664.75406054617,17138.919188833697,10463.799630148307,0.0,1000000.0
20,6,GSK,SHAP-CF,30,3639.3629293093254,37366.280181318725,13439.99473620105,17066.577114410986,10613.078347478959,0.0,1000000.0
20,6,GSK,Standard,30,9223.348788059628,41128.49488219907,29899.834917800246,28500.059168889078,7001.667617595462,0.0,1000000.0
20,6,GWO,ACME-CF,30,24371.774425649193,108950.88883842004,62626.53428938218,63281.0558169031,22070.34209691762,0.0,1000000.0
