Dimension,Function,Algorithm,Variant,Runs,ExecTime_s_Mean,ExecTime_s_Median,ExecTime_s_STD,OptimizerFEs_Mean,ExplanationFEs_Mean,OracleFEs_Mean,ExplanationShare_Mean
10,5,BA,LIME-CF,30,3.2819200555008137,3.2735103129962226,0.06681505536514475,153992.0,46008.0,46008.0,0.23004
10,5,BA,SHAP-CF,30,3.2789336832996923,3.271143000001757,0.08067024860162686,156290.0,43710.0,43710.0,0.21855
10,5,BA,Standard,30,3.192400395833344,3.174758354496589,0.06706030968554337,200000.0,0.0,0.0,0.0
10,5,GSK,ACME-CF,30,2.9079916889008017,2.9620221664990822,1.7825236864164022,94865.63333333333,14614.033333333333,14614.033333333333,0.07307016666666666
10,5,GSK,IBREAKDOWN-CF,30,3.651220949866547,5.194116520997341,2.15075063339626,124638.3,12708.0,12708.0,0.06354
10,5,GSK,LIME-CF,30,3.4049776932324067,4.316117957998358,2.1247912399149307,98788.26666666666,28452.833333333332,28452.833333333332,0.14226416666666666
10,5,GSK,SHAP-CF,30,3.833062934767804,5.204909812502592,2.055000758682848,130281.83333333333,13161.066666666668,13161.066666666668,0.06580533333333333
10,5,GSK,Standard,30,4.249172227666956,5.212940978999541,2.0243092563409486,162055.3,0.0,0.0,0.0
10,5,GWO,ACME-CF,30,6.7932289680335085,6.756479103998572,0.13786161043127654,164822.0,35178.0,35178.0,0.17589
10,5,GWO,IBREAKDOWN-CF,30,6.806719091599856,6.748443791500904,0.13852090881003723,175454.0,24546.0,24546.0,0.12273
10,5,GWO,LIME-CF,30,6.799054623566432,6.786462937499891,0.11412890845205496,165440.0,34560.0,34560.0,0.1728
10,5,GWO,SHAP-CF,30,6.81641662350036,6.789952291503141,0.1291876917538886,175456.0,24544.0,24544.0,0.12272
10,5,GWO,Standard,30,6.785194712466424,6.736741978998907,0.15042899945718494,200000.0,0.0,0.0,0.0
10,5,L-SHADE,ACME-CF,30,0.7035125263331187,0.6994088540013763,0.03255681390681294,23276.0,975.0666666666667,975.0666666666667,0.004875333333333333
10,5,L-SHADE,IBREAKDOWN-CF,30,0.6881582903331339,0.6844984795025084,0.0316736109768121,23293.133333333335,463.1333333333333,463.1333333333333,0.0023156666666666664
10,5,L-SHADE,LIME-CF,30,0.710449437333106,0.6990679375012405,0.05698234918484434,23295.566666666666,1014.4,1014.4,0.005071999999999999
10,5,L-SHADE,SHAP-CF,30,0.6880000181006228,0.6883219584997278,0.025004142179518553,23343.733333333334,431.3666666666667,431.3666666666667,0.002156833333333333
10,5,L-SHADE,Standard,30,0.6746311764337103,0.6762632705031137,0.020621166502579308,23315.133333333335,0.0,0.0,0.0
10,5,OPA,ACME-CF,30,5.160740504167431,5.159509583001636,0.1243693558116437,150324.0,49676.0,49676.0,0.24838
10,5,OPA,IBREAKDOWN-CF,30,5.148580902766601,5.189278500001819,0.14901951236742195,163474.0,36526.0,36526.0,0.18263000000000001
10,5,OPA,LIME-CF,30,5.150527829100368,5.141178146001039,0.12928817686372812,152312.0,47688.0,47688.0,0.23844
10,5,OPA,SHAP-CF,30,5.13060100130048,5.145764895500179,0.18989379037309748,162374.06666666668,36698.0,36698.0,0.18349
10,5,OPA,Standard,30,5.078439005600618,5.039832854501583,0.12234038020440796,200000.0,0.0,0.0,0.0
