Dimension,MH_Group,Algorithm,Variant,Runs,FinalErr_Mean,FinalErr_Median,FinalErr_STD,FinalErr_IQR,Log10FinalErr_Mean,Log10FinalErr_Median,Log10FinalErr_STD,ExecTime_s_Mean,ExecTime_s_Median,OptimizerFEs_Median,ExplanationFEs_Median,ExplanationShare_Median,OracleAttempts,OracleActivations,AppliedInterventions,Rescues
20,ADAPTIVE_DE,jSO,ACME-CF,360,649.2410727725122,33.85883992794993,4732.425673289473,238.28503425547498,-1.3199635648618055,1.529669642338376,4.812503670677064,99.73112689503873,43.03843752051034,942891.5,41695.5,0.041695499999999996,15351,15348,15318,2371
20,ADAPTIVE_DE,jSO,IBREAKDOWN-CF,360,511.0908735928901,35.3559696396768,2309.656816078972,238.28503425543425,-1.3252690762636066,1.5483676024258024,4.807277617996219,98.58056142186676,42.837477124499856,960134.5,29199.5,0.0291995,15568,15566,15552,3435
20,ADAPTIVE_DE,jSO,LIME-CF,360,416.5172013541144,36.20381313232167,2226.7407427460603,238.2850342554773,-1.3516383196690602,1.5581952200589164,4.7893181824963875,99.95394400139162,43.09913216700079,947080.0,40002.0,0.040001999999999996,15308,15307,15294,3342
20,ADAPTIVE_DE,jSO,SHAP-CF,360,503.53690221289474,36.89175846722742,2444.9173837757166,238.285034255494,-1.3190243187427213,1.566314454118006,4.810061841843594,99.75689471387498,42.94469674950233,959538.0,29013.5,0.029013499999999998,15564,15561,15555,3544
20,ADAPTIVE_DE,jSO,Standard,360,5928.970056742764,49.08447897948122,20704.97654631731,263.2295838744857,-1.0700573022318645,1.6909441854184664,5.005083891804329,98.956840052292,37.952644750002946,1000000.0,0.0,0.0,0,0,0,0
20,CLASSICAL_SWARM,BA,ACME-CF,360,14297.418567375453,49.83904371665298,50299.400432474264,332.66315424177526,1.439329265576046,1.6975696178606605,2.2019148963931574,96.51743120612772,42.26529810451029,928090.0,71910.0,0.07191,24139,24108,24108,1691
20,CLASSICAL_SWARM,BA,IBREAKDOWN-CF,360,88642.44676491659,54.566379009603,307207.09761116107,325.6183079445091,1.8091516444759024,1.7369237536526518,1.9608475225786945,96.5925198152722,42.290450853994116,949060.0,50940.0,0.05094,28647,28627,28627,1351
20,CLASSICAL_SWARM,BA,LIME-CF,360,87843.86533182983,54.36275924443848,304262.7602314166,325.5597357155623,1.813741843537854,1.7352559167898889,1.9581769786691943,96.55916661467802,42.241651125004864,943120.0,56880.0,0.05688,28290,28272,28272,1672
20,CLASSICAL_SWARM,BA,SHAP-CF,360,76405.26835917112,51.81973121908453,269008.5119810608,325.59620044867717,1.7986698038514788,1.7144186981603236,1.960691533186713,96.553259014344,42.20820381250087,946780.0,53220.0,0.05322,28686,28662,28662,1261
20,CLASSICAL_SWARM,BA,Standard,360,91807.42921776178,53.48383825190541,321143.6015375942,324.2751782422741,1.8335813114035415,1.7282104120882953,1.9421030096730414,96.5633882413197,42.22379331250704,1000000.0,0.0,0.0,0,0,0,0
20,CLASSICAL_SWARM,GWO,ACME-CF,360,5402.270879296712,54.00000211638178,18568.125120053992,333.22137822784146,1.2227843467375596,1.7323937768439481,2.3253456684885094,115.06678398192489,60.55595910450211,963460.0,36540.0,0.03654,18413,18411,18411,3094
20,CLASSICAL_SWARM,GWO,IBREAKDOWN-CF,360,5655.621542799592,50.24335005209218,19361.544959287225,335.11222680193225,1.2372621127760943,1.7010516217144576,2.2870966460580155,115.11196888136988,60.58273874999577,976480.0,23520.0,0.02352,19335,19334,19334,4641
20,CLASSICAL_SWARM,GWO,LIME-CF,360,5565.897363349839,55.000001442626,18871.503446738847,335.021306889368,1.2533590692983396,1.7402909048442505,2.344219968698852,115.31494207599778,60.79887847899954,963280.0,36720.0,0.03672,19210,19208,19208,4278
20,CLASSICAL_SWARM,GWO,SHAP-CF,360,5842.6149276467595,54.48740720179492,19918.86084857544,334.6357758107721,1.2374850720101875,1.7362589138263516,2.340164372110366,115.1702500827809,60.653308812987234,976300.0,23700.0,0.0237,19316,19313,19313,4685
20,CLASSICAL_SWARM,GWO,Standard,360,5423.101310831778,55.661980796450365,18451.59632204568,334.34114392032257,1.2243439925943007,1.745550649079303,2.3063537756770955,114.70684980590853,60.5433821044935,1000000.0,0.0,0.0,0,0,0,0
20,CLASSICAL_SWARM,PSO,ACME-CF,360,2690.950865211187,49.084478979481446,9543.81518322886,332.57346283300376,0.5838706367100042,1.6909441854184684,3.552020710872074,94.95629491111646,31.26537337499758,932140.0,66840.0,0.06684000000000001,21181,21154,21154,3026
20,CLASSICAL_SWARM,PSO,IBREAKDOWN-CF,360,2730.8976093112283,49.084478979481446,9868.033033337797,332.5734628330025,0.5905843988841075,1.6909441854184684,3.549962868075394,94.93262796420555,31.16374293750414,951940.0,47520.0,0.04752,21731,21720,21720,3095
20,CLASSICAL_SWARM,PSO,LIME-CF,360,2716.457677840853,49.084478979481446,9720.973221857406,332.5734628330026,0.5849854238908446,1.6909441854184684,3.549407255295082,94.9589185554166,31.09970825000346,936640.0,61920.0,0.06192,21383,21365,21365,2988
20,CLASSICAL_SWARM,PSO,SHAP-CF,360,2726.0166682627296,49.084478979481446,9647.940204777267,332.5734628330033,0.591782640797347,1.6909441854184684,3.549220713535589,94.7212829274165,31.13449954149837,951070.0,47520.0,0.04752,21656,21643,21643,3157
