Algorithm,Variant,Feature,Events,MeanNormalizedImportance,MedianNormalizedImportance,IQRNormalizedImportance,UsefulAssociatedRate
PSO,SHAP-CF,c2,35757,6.987505561490922e-05,0.0,0.0,0.16080767402186985
PSO,SHAP-CF,vmax,35757,0.007539604811444272,0.0,0.0,0.16080767402186985
PSO,SHAP-CF,w,35757,0.00763201700825778,0.0,0.0,0.16080767402186985
SBOA,ACME-CF,escape_weight,47541,0.11762061424603444,0.0,0.0,0.056751014913443136
SBOA,ACME-CF,explore_prob,47541,0.009871843306365615,0.0,0.0,0.056751014913443136
SBOA,ACME-CF,hunt_weight,47541,0.061826276707285535,0.0,0.0,0.056751014913443136
SBOA,ACME-CF,local_weight,47541,0.027883259808592305,0.0,0.0,0.056751014913443136
SBOA,IBREAKDOWN-CF,escape_weight,51043,0.0001935991583189546,0.0,0.0,0.09219677526791137
SBOA,IBREAKDOWN-CF,explore_prob,51043,0.010562141617665305,0.0,0.0,0.09219677526791137
SBOA,IBREAKDOWN-CF,hunt_weight,51043,0.011859908090217933,0.0,0.0,0.09219677526791137
SBOA,IBREAKDOWN-CF,local_weight,51043,0.014980103734546196,0.0,0.0,0.09219677526791137
SBOA,LIME-CF,escape_weight,48460,0.2572681352664607,0.23057571777729913,0.25280650582633796,0.0819026000825423
SBOA,LIME-CF,hunt_weight,48460,0.2508678076311093,0.22546353675714165,0.24561392657462758,0.0819026000825423
SBOA,LIME-CF,local_weight,48460,0.2470302892640848,0.2208946175813818,0.24008142182820752,0.0819026000825423
SBOA,LIME-CF,explore_prob,48460,0.24483376783834526,0.2183371691853871,0.23976064262443697,0.0819026000825423
SBOA,SHAP-CF,escape_weight,50623,0.00011001412982862607,0.0,0.0,0.09564822313967959
SBOA,SHAP-CF,explore_prob,50623,0.017838941815814618,0.0,0.0,0.09564822313967959
SBOA,SHAP-CF,hunt_weight,50623,0.015777764202675078,0.0,0.0,0.09564822313967959
SBOA,SHAP-CF,local_weight,50623,0.01672465570850565,0.0,0.0,0.09564822313967959
jSO,ACME-CF,CR,25955,0.042330408126285066,0.0,0.0,0.16840685802350222
jSO,ACME-CF,F,25955,0.030339108158821064,0.0,0.0,0.16840685802350222
jSO,ACME-CF,archive_rate,25955,0.08338548166069894,0.0,0.0,0.16840685802350222
jSO,ACME-CF,pbest_rate,25955,0.004954441468565952,0.0,0.0,0.16840685802350222
jSO,IBREAKDOWN-CF,CR,26840,0.006424824258842988,0.0,0.0,0.23573025335320416
jSO,IBREAKDOWN-CF,F,26840,0.016107662806424415,0.0,0.0,0.23573025335320416
jSO,IBREAKDOWN-CF,archive_rate,26840,0.0022083386571841953,0.0,0.0,0.23573025335320416
jSO,IBREAKDOWN-CF,pbest_rate,26840,0.004096730164284615,0.0,0.0,0.23573025335320416
jSO,LIME-CF,archive_rate,25958,0.24997474335990089,0.22638922053057256,0.24021020220689127,0.2267123815394098
jSO,LIME-CF,pbest_rate,25958,0.2515300664756674,0.22493584913818293,0.24657438325187264,0.2267123815394098
jSO,LIME-CF,CR,25958,0.2508761902019058,0.22426077995756533,0.24046755759200697,0.2267123815394098
jSO,LIME-CF,F,25958,0.2476189999625259,0.2234510128813642,0.23896562715162753,0.2267123815394098
jSO,SHAP-CF,CR,26843,0.015168926210032761,0.0,0.0,0.24382520582647246
jSO,SHAP-CF,F,26843,0.01546053987938452,0.0,0.0,0.24382520582647246
jSO,SHAP-CF,archive_rate,26843,0.004661112971539831,0.0,0.0,0.24382520582647246
jSO,SHAP-CF,pbest_rate,26843,0.007588383797143695,0.0,0.0,0.24382520582647246
